month_start,store_nbr,family,unit_sales,promotion_units,observed_days,zero_sales_days
2013-01-01,2,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,2,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,2,HOME APPLIANCES,0.0,0,31,31
2013-01-01,2,HOME CARE,0.0,0,31,31
2013-01-01,2,LADIESWEAR,0.0,0,31,31
2013-01-01,2,LAWN AND GARDEN,193.0,0,31,3
2013-01-01,2,LINGERIE,716.0,0,31,1
2013-01-01,2,"LIQUOR,WINE,BEER",1593.0,0,31,5
2013-01-01,2,MAGAZINES,0.0,0,31,31
2013-01-01,2,MEATS,15451.082,0,31,1
2013-01-01,2,PERSONAL CARE,5503.0,0,31,1
2013-01-01,2,PET SUPPLIES,0.0,0,31,31
2013-01-01,2,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,2,POULTRY,8314.164,0,31,1
2013-01-01,2,PREPARED FOODS,2636.712,0,31,1
2013-01-01,2,PRODUCE,0.0,0,31,31
2013-01-01,2,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,2,SEAFOOD,880.563,0,31,1
2013-01-01,3,AUTOMOTIVE,186.0,0,31,1
2013-01-01,3,BABY CARE,0.0,0,31,31
2013-01-01,3,BEAUTY,184.0,0,31,1
2013-01-01,3,BEVERAGES,105918.0,0,31,1
2013-01-01,3,BOOKS,0.0,0,31,31
2013-01-01,3,BREAD/BAKERY,25348.488,0,31,1
2013-01-01,3,CELEBRATION,0.0,0,31,31
2013-01-01,3,CLEANING,59403.0,0,31,1
2013-01-01,3,DAIRY,35186.0,0,31,1
2013-01-01,3,DELI,10461.107,0,31,1
2013-01-01,3,EGGS,15111.0,0,31,1
2013-01-01,3,FROZEN FOODS,8184.813,0,31,1
2013-01-01,3,GROCERY I,166204.0,0,31,1
2013-01-01,3,GROCERY II,1869.0,0,31,1
2013-01-01,3,HARDWARE,84.0,0,31,3
2013-01-01,3,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,3,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,3,HOME APPLIANCES,0.0,0,31,31
2013-01-01,3,HOME CARE,0.0,0,31,31
2013-01-01,3,LADIESWEAR,0.0,0,31,31
2013-01-01,3,LAWN AND GARDEN,317.0,0,31,3
2013-01-01,3,LINGERIE,1620.0,0,31,1
2013-01-01,3,"LIQUOR,WINE,BEER",4553.0,0,31,5
2013-01-01,3,MAGAZINES,0.0,0,31,31
2013-01-01,3,MEATS,21723.139,0,31,1
2013-01-01,3,PERSONAL CARE,12153.0,0,31,1
2013-01-01,3,PET SUPPLIES,0.0,0,31,31
2013-01-01,3,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,3,POULTRY,15382.6,0,31,1
2013-01-01,3,PREPARED FOODS,9491.281,0,31,1
2013-01-01,3,PRODUCE,0.0,0,31,31
2013-01-01,3,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,3,SEAFOOD,3194.854,0,31,1
2013-01-01,4,AUTOMOTIVE,120.0,0,31,3
2013-01-01,4,BABY CARE,0.0,0,31,31
2013-01-01,4,BEAUTY,99.0,0,31,5
2013-01-01,4,BEVERAGES,33680.0,0,31,1
2013-01-01,4,BOOKS,0.0,0,31,31
2013-01-01,4,BREAD/BAKERY,9403.176,0,31,1
2013-01-01,4,CELEBRATION,0.0,0,31,31
2013-01-01,4,CLEANING,27224.0,0,31,1
2013-01-01,4,DAIRY,13194.0,0,31,1
2013-01-01,4,DELI,5622.74,0,31,1
2013-01-01,4,EGGS,5044.0,0,31,1
2013-01-01,4,FROZEN FOODS,2713.762,0,31,1
2013-01-01,4,GROCERY I,78768.0,0,31,1
2013-01-01,4,GROCERY II,723.0,0,31,1
2013-01-01,4,HARDWARE,24.0,0,31,16
2013-01-01,4,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,4,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,4,HOME APPLIANCES,0.0,0,31,31
2013-01-01,4,HOME CARE,0.0,0,31,31
2013-01-01,4,LADIESWEAR,0.0,0,31,31
2013-01-01,4,LAWN AND GARDEN,177.0,0,31,2
2013-01-01,4,LINGERIE,599.0,0,31,1
2013-01-01,4,"LIQUOR,WINE,BEER",1579.0,0,31,5
2013-01-01,4,MAGAZINES,0.0,0,31,31
2013-01-01,4,MEATS,11963.471,0,31,1
2013-01-01,4,PERSONAL CARE,6407.0,0,31,1
2013-01-01,4,PET SUPPLIES,0.0,0,31,31
2013-01-01,4,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,4,POULTRY,8165.618,0,31,1
2013-01-01,4,PREPARED FOODS,2878.852,0,31,1
2013-01-01,4,PRODUCE,0.0,0,31,31
2013-01-01,4,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,4,SEAFOOD,910.241,0,31,1
2013-01-01,5,AUTOMOTIVE,134.0,0,31,1
2013-01-01,5,BABY CARE,0.0,0,31,31
2013-01-01,5,BEAUTY,125.0,0,31,2
2013-01-01,5,BEVERAGES,22187.0,0,31,1
2013-01-01,5,BOOKS,0.0,0,31,31
2013-01-01,5,BREAD/BAKERY,10859.789,0,31,1
2013-01-01,5,CELEBRATION,0.0,0,31,31
2013-01-01,5,CLEANING,32526.0,0,31,1
2013-01-01,5,DAIRY,9287.0,0,31,1
2013-01-01,5,DELI,7676.155,0,31,1
2013-01-01,5,EGGS,4407.0,0,31,1
2013-01-01,5,FROZEN FOODS,2983.636,0,31,1
2013-01-01,5,GROCERY I,87331.0,0,31,1
2013-01-01,5,GROCERY II,450.0,0,31,1
2013-01-01,5,HARDWARE,25.0,0,31,14
2013-01-01,5,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,5,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,5,HOME APPLIANCES,4.0,0,31,27
2013-01-01,5,HOME CARE,0.0,0,31,31
2013-01-01,5,LADIESWEAR,0.0,0,31,31
2013-01-01,5,LAWN AND GARDEN,49.0,0,31,16
2013-01-01,5,LINGERIE,1256.0,0,31,1
2013-01-01,5,"LIQUOR,WINE,BEER",1593.0,0,31,5
2013-01-01,5,MAGAZINES,0.0,0,31,31
2013-01-01,5,MEATS,10182.099,0,31,1
2013-01-01,5,PERSONAL CARE,7313.0,0,31,1
2013-01-01,5,PET SUPPLIES,0.0,0,31,31
2013-01-01,5,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,5,POULTRY,5411.286,0,31,1
2013-01-01,5,PREPARED FOODS,2664.0,0,31,1
2013-01-01,5,PRODUCE,0.0,0,31,31
2013-01-01,5,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,5,SEAFOOD,420.863,0,31,1
2013-01-01,6,AUTOMOTIVE,106.0,0,31,1
2013-01-01,6,BABY CARE,0.0,0,31,31
2013-01-01,6,BEAUTY,150.0,0,31,1
2013-01-01,6,BEVERAGES,41961.0,0,31,1
2013-01-01,6,BOOKS,0.0,0,31,31
2013-01-01,6,BREAD/BAKERY,12601.144,0,31,1
2013-01-01,6,CELEBRATION,0.0,0,31,31
2013-01-01,6,CLEANING,35504.0,0,31,1
2013-01-01,6,DAIRY,15089.0,0,31,1
2013-01-01,6,DELI,8068.86,0,31,1
2013-01-01,6,EGGS,6573.0,0,31,1
2013-01-01,6,FROZEN FOODS,4071.185,0,31,1
2013-01-01,6,GROCERY I,108238.0,0,31,1
2013-01-01,6,GROCERY II,1092.0,0,31,1
2013-01-01,6,HARDWARE,23.0,0,31,15
2013-01-01,6,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,6,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,6,HOME APPLIANCES,0.0,0,31,31
2013-01-01,6,HOME CARE,0.0,0,31,31
2013-01-01,6,LADIESWEAR,0.0,0,31,31
2013-01-01,6,LAWN AND GARDEN,135.0,0,31,5
2013-01-01,6,LINGERIE,476.0,0,31,1
2013-01-01,6,"LIQUOR,WINE,BEER",2071.0,0,31,5
2013-01-01,6,MAGAZINES,0.0,0,31,31
2013-01-01,6,MEATS,14903.722,0,31,1
2013-01-01,6,PERSONAL CARE,8049.0,0,31,1
2013-01-01,6,PET SUPPLIES,0.0,0,31,31
2013-01-01,6,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,6,POULTRY,12452.491,0,31,1
2013-01-01,6,PREPARED FOODS,4287.42,0,31,1
2013-01-01,6,PRODUCE,0.0,0,31,31
2013-01-01,6,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,6,SEAFOOD,1322.91,0,31,1
2013-01-01,7,AUTOMOTIVE,74.0,0,31,3
2013-01-01,7,BABY CARE,0.0,0,31,31
2013-01-01,7,BEAUTY,96.0,0,31,2
2013-01-01,7,BEVERAGES,50018.0,0,31,1
2013-01-01,7,BOOKS,0.0,0,31,31
2013-01-01,7,BREAD/BAKERY,13294.861,0,31,1
2013-01-01,7,CELEBRATION,0.0,0,31,31
2013-01-01,7,CLEANING,28986.0,0,31,1
2013-01-01,7,DAIRY,19194.0,0,31,1
2013-01-01,7,DELI,4281.462,0,31,1
2013-01-01,7,EGGS,7500.0,0,31,1
2013-01-01,7,FROZEN FOODS,4039.778,0,31,1
2013-01-01,7,GROCERY I,77299.0,0,31,1
2013-01-01,7,GROCERY II,1111.0,0,31,1
2013-01-01,7,HARDWARE,16.0,0,31,21
2013-01-01,7,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,7,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,7,HOME APPLIANCES,21.0,0,31,22
2013-01-01,7,HOME CARE,0.0,0,31,31
2013-01-01,7,LADIESWEAR,0.0,0,31,31
2013-01-01,7,LAWN AND GARDEN,218.0,0,31,4
2013-01-01,7,LINGERIE,400.0,0,31,1
2013-01-01,7,"LIQUOR,WINE,BEER",3118.0,0,31,5
2013-01-01,7,MAGAZINES,0.0,0,31,31
2013-01-01,7,MEATS,15009.609,0,31,1
2013-01-01,7,PERSONAL CARE,4323.0,0,31,1
2013-01-01,7,PET SUPPLIES,0.0,0,31,31
2013-01-01,7,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,7,POULTRY,7171.283,0,31,1
2013-01-01,7,PREPARED FOODS,3810.0,0,31,1
2013-01-01,7,PRODUCE,0.0,0,31,31
2013-01-01,7,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,7,SEAFOOD,1540.923,0,31,1
2013-01-01,8,AUTOMOTIVE,175.0,0,31,2
2013-01-01,8,BABY CARE,0.0,0,31,31
2013-01-01,8,BEAUTY,114.0,0,31,1
2013-01-01,8,BEVERAGES,62690.0,0,31,1
2013-01-01,8,BOOKS,0.0,0,31,31
2013-01-01,8,BREAD/BAKERY,16319.315,0,31,1
2013-01-01,8,CELEBRATION,0.0,0,31,31
2013-01-01,8,CLEANING,37735.0,0,31,1
2013-01-01,8,DAIRY,24906.0,0,31,1
2013-01-01,8,DELI,7006.307,0,31,1
2013-01-01,8,EGGS,9322.0,0,31,1
2013-01-01,8,FROZEN FOODS,4583.641,0,31,1
2013-01-01,8,GROCERY I,104524.0,0,31,1
2013-01-01,8,GROCERY II,1354.0,0,31,1
2013-01-01,8,HARDWARE,39.0,0,31,11
2013-01-01,8,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,8,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,8,HOME APPLIANCES,0.0,0,31,31
2013-01-01,8,HOME CARE,0.0,0,31,31
2013-01-01,8,LADIESWEAR,0.0,0,31,31
2013-01-01,8,LAWN AND GARDEN,191.0,0,31,3
2013-01-01,8,LINGERIE,971.0,0,31,1
2013-01-01,8,"LIQUOR,WINE,BEER",3461.0,0,31,5
2013-01-01,8,MAGAZINES,0.0,0,31,31
2013-01-01,8,MEATS,17839.428,0,31,1
2013-01-01,8,PERSONAL CARE,7949.0,0,31,1
2013-01-01,8,PET SUPPLIES,0.0,0,31,31
2013-01-01,8,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,8,POULTRY,7614.59,0,31,1
2013-01-01,8,PREPARED FOODS,6896.29,0,31,1
2013-01-01,8,PRODUCE,0.0,0,31,31
2013-01-01,8,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,8,SEAFOOD,1766.875,0,31,1
2013-01-01,9,AUTOMOTIVE,252.0,0,31,2
2013-01-01,9,BABY CARE,0.0,0,31,31
2013-01-01,9,BEAUTY,103.0,0,31,2
2013-01-01,9,BEVERAGES,31754.0,0,31,1
2013-01-01,9,BOOKS,0.0,0,31,31
2013-01-01,9,BREAD/BAKERY,18774.0,0,31,1
2013-01-01,9,CELEBRATION,0.0,0,31,31
2013-01-01,9,CLEANING,42904.0,0,31,1
2013-01-01,9,DAIRY,8738.0,0,31,1
2013-01-01,9,DELI,12005.431,0,31,1
2013-01-01,9,EGGS,3547.0,0,31,1
2013-01-01,9,FROZEN FOODS,991.648,0,31,1
2013-01-01,9,GROCERY I,121513.0,0,31,1
2013-01-01,9,GROCERY II,412.0,0,31,1
2013-01-01,9,HARDWARE,59.0,0,31,9
2013-01-01,9,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,9,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,9,HOME APPLIANCES,1.0,0,31,30
2013-01-01,9,HOME CARE,0.0,0,31,31
2013-01-01,9,LADIESWEAR,0.0,0,31,31
2013-01-01,9,LAWN AND GARDEN,19.0,0,31,18
2013-01-01,9,LINGERIE,300.0,0,31,1
2013-01-01,9,"LIQUOR,WINE,BEER",988.0,0,31,5
2013-01-01,9,MAGAZINES,0.0,0,31,31
2013-01-01,9,MEATS,10486.949,0,31,1
2013-01-01,9,PERSONAL CARE,9231.0,0,31,1
2013-01-01,9,PET SUPPLIES,0.0,0,31,31
2013-01-01,9,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,9,POULTRY,11551.287,0,31,1
2013-01-01,9,PREPARED FOODS,1580.0,0,31,1
2013-01-01,9,PRODUCE,0.0,0,31,31
2013-01-01,9,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,9,SEAFOOD,572.774,0,31,1
2013-01-01,10,AUTOMOTIVE,55.0,0,31,9
2013-01-01,10,BABY CARE,0.0,0,31,31
2013-01-01,10,BEAUTY,49.0,0,31,9
2013-01-01,10,BEVERAGES,12948.0,0,31,1
2013-01-01,10,BOOKS,0.0,0,31,31
2013-01-01,10,BREAD/BAKERY,3360.0,0,31,1
2013-01-01,10,CELEBRATION,0.0,0,31,31
2013-01-01,10,CLEANING,22361.0,0,31,1
2013-01-01,10,DAIRY,2455.0,0,31,1
2013-01-01,10,DELI,5274.0,0,31,1
2013-01-01,10,EGGS,830.0,0,31,1
2013-01-01,10,FROZEN FOODS,323.026,0,31,1
2013-01-01,10,GROCERY I,52835.0,0,31,1
2013-01-01,10,GROCERY II,77.0,0,31,6
2013-01-01,10,HARDWARE,20.0,0,31,20
2013-01-01,10,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,10,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,10,HOME APPLIANCES,1.0,0,31,30
2013-01-01,10,HOME CARE,0.0,0,31,31
2013-01-01,10,LADIESWEAR,0.0,0,31,31
2013-01-01,10,LAWN AND GARDEN,0.0,0,31,31
2013-01-01,10,LINGERIE,114.0,0,31,4
2013-01-01,10,"LIQUOR,WINE,BEER",256.0,0,31,5
2013-01-01,10,MAGAZINES,0.0,0,31,31
2013-01-01,10,MEATS,6595.832,0,31,1
2013-01-01,10,PERSONAL CARE,4632.0,0,31,1
2013-01-01,10,PET SUPPLIES,0.0,0,31,31
2013-01-01,10,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,10,POULTRY,3210.376,0,31,1
2013-01-01,10,PREPARED FOODS,340.0,0,31,1
2013-01-01,10,PRODUCE,0.0,0,31,31
2013-01-01,10,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,10,SEAFOOD,127.0,0,31,3
2013-01-01,11,AUTOMOTIVE,169.0,0,31,2
2013-01-01,11,BABY CARE,0.0,0,31,31
2013-01-01,11,BEAUTY,103.0,0,31,4
2013-01-01,11,BEVERAGES,65172.0,0,31,1
2013-01-01,11,BOOKS,0.0,0,31,31
2013-01-01,11,BREAD/BAKERY,15860.0,0,31,1
2013-01-01,11,CELEBRATION,0.0,0,31,31
2013-01-01,11,CLEANING,52245.0,0,31,1
2013-01-01,11,DAIRY,5330.0,0,31,1
2013-01-01,11,DELI,8499.554,0,31,1
2013-01-01,11,EGGS,1780.0,0,31,1
2013-01-01,11,FROZEN FOODS,980.92,0,31,1
2013-01-01,11,GROCERY I,123573.0,0,31,1
2013-01-01,11,GROCERY II,268.0,0,31,1
2013-01-01,11,HARDWARE,30.0,0,31,17
2013-01-01,11,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,11,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,11,HOME APPLIANCES,0.0,0,31,31
2013-01-01,11,HOME CARE,0.0,0,31,31
2013-01-01,11,LADIESWEAR,0.0,0,31,31
2013-01-01,11,LAWN AND GARDEN,29.0,0,31,15
2013-01-01,11,LINGERIE,334.0,0,31,1
2013-01-01,11,"LIQUOR,WINE,BEER",863.0,0,31,5
2013-01-01,11,MAGAZINES,0.0,0,31,31
2013-01-01,11,MEATS,18646.914,0,31,1
2013-01-01,11,PERSONAL CARE,9329.0,0,31,1
2013-01-01,11,PET SUPPLIES,0.0,0,31,31
2013-01-01,11,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,11,POULTRY,10478.45,0,31,1
2013-01-01,11,PREPARED FOODS,624.0,0,31,1
2013-01-01,11,PRODUCE,0.0,0,31,31
2013-01-01,11,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,11,SEAFOOD,156.0,0,31,1
2013-01-01,12,AUTOMOTIVE,110.0,0,31,4
2013-01-01,12,BABY CARE,0.0,0,31,31
2013-01-01,12,BEAUTY,38.0,0,31,11
2013-01-01,12,BEVERAGES,20412.0,0,31,1
2013-01-01,12,BOOKS,0.0,0,31,31
2013-01-01,12,BREAD/BAKERY,6948.0,0,31,1
2013-01-01,12,CELEBRATION,0.0,0,31,31
2013-01-01,12,CLEANING,20476.0,0,31,1
2013-01-01,12,DAIRY,3635.0,0,31,1
2013-01-01,12,DELI,3867.0,0,31,1
2013-01-01,12,EGGS,1171.0,0,31,1
2013-01-01,12,FROZEN FOODS,520.487,0,31,1
2013-01-01,12,GROCERY I,58093.0,0,31,1
2013-01-01,12,GROCERY II,179.0,0,31,3
2013-01-01,12,HARDWARE,43.0,0,31,15
2013-01-01,12,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,12,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,12,HOME APPLIANCES,0.0,0,31,31
2013-01-01,12,HOME CARE,0.0,0,31,31
2013-01-01,12,LADIESWEAR,0.0,0,31,31
2013-01-01,12,LAWN AND GARDEN,0.0,0,31,31
2013-01-01,12,LINGERIE,209.0,0,31,1
2013-01-01,12,"LIQUOR,WINE,BEER",677.0,0,31,5
2013-01-01,12,MAGAZINES,0.0,0,31,31
2013-01-01,12,MEATS,4568.622,0,31,1
2013-01-01,12,PERSONAL CARE,3368.0,0,31,1
2013-01-01,12,PET SUPPLIES,0.0,0,31,31
2013-01-01,12,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,12,POULTRY,2098.482,0,31,1
2013-01-01,12,PREPARED FOODS,608.0,0,31,1
2013-01-01,12,PRODUCE,0.0,0,31,31
2013-01-01,12,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,12,SEAFOOD,91.0,0,31,3
2013-01-01,13,AUTOMOTIVE,107.0,0,31,2
2013-01-01,13,BABY CARE,0.0,0,31,31
2013-01-01,13,BEAUTY,30.0,0,31,12
2013-01-01,13,BEVERAGES,21601.0,0,31,1
2013-01-01,13,BOOKS,0.0,0,31,31
2013-01-01,13,BREAD/BAKERY,6164.0,0,31,1
2013-01-01,13,CELEBRATION,0.0,0,31,31
2013-01-01,13,CLEANING,19716.0,0,31,1
2013-01-01,13,DAIRY,3090.0,0,31,1
2013-01-01,13,DELI,3154.0,0,31,1
2013-01-01,13,EGGS,680.0,0,31,1
2013-01-01,13,FROZEN FOODS,309.13,0,31,1
2013-01-01,13,GROCERY I,51231.0,0,31,1
2013-01-01,13,GROCERY II,161.0,0,31,2
2013-01-01,13,HARDWARE,19.0,0,31,19
2013-01-01,13,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,13,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,13,HOME APPLIANCES,0.0,0,31,31
2013-01-01,13,HOME CARE,0.0,0,31,31
2013-01-01,13,LADIESWEAR,0.0,0,31,31
2013-01-01,13,LAWN AND GARDEN,0.0,0,31,31
2013-01-01,13,LINGERIE,184.0,0,31,2
2013-01-01,13,"LIQUOR,WINE,BEER",541.0,0,31,5
2013-01-01,13,MAGAZINES,0.0,0,31,31
2013-01-01,13,MEATS,4411.578,0,31,1
2013-01-01,13,PERSONAL CARE,4086.0,0,31,1
2013-01-01,13,PET SUPPLIES,0.0,0,31,31
2013-01-01,13,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,13,POULTRY,1829.168,0,31,1
2013-01-01,13,PREPARED FOODS,504.0,0,31,1
2013-01-01,13,PRODUCE,0.0,0,31,31
2013-01-01,13,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,13,SEAFOOD,80.0,0,31,6
2013-01-01,14,AUTOMOTIVE,83.0,0,31,7
2013-01-01,14,BABY CARE,0.0,0,31,31
2013-01-01,14,BEAUTY,88.0,0,31,2
2013-01-01,14,BEVERAGES,13875.0,0,31,1
2013-01-01,14,BOOKS,0.0,0,31,31
2013-01-01,14,BREAD/BAKERY,7122.0,0,31,1
2013-01-01,14,CELEBRATION,0.0,0,31,31
2013-01-01,14,CLEANING,32678.0,0,31,1
2013-01-01,14,DAIRY,3742.0,0,31,1
2013-01-01,14,DELI,3843.0,0,31,1
2013-01-01,14,EGGS,1085.0,0,31,1
2013-01-01,14,FROZEN FOODS,776.828,0,31,1
2013-01-01,14,GROCERY I,68346.0,0,31,1
2013-01-01,14,GROCERY II,218.0,0,31,1
2013-01-01,14,HARDWARE,6.0,0,31,26
2013-01-01,14,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,14,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,14,HOME APPLIANCES,0.0,0,31,31
2013-01-01,14,HOME CARE,0.0,0,31,31
2013-01-01,14,LADIESWEAR,0.0,0,31,31
2013-01-01,14,LAWN AND GARDEN,0.0,0,31,31
2013-01-01,14,LINGERIE,236.0,0,31,1
2013-01-01,14,"LIQUOR,WINE,BEER",582.0,0,31,5
2013-01-01,14,MAGAZINES,0.0,0,31,31
2013-01-01,14,MEATS,12571.078,0,31,1
2013-01-01,14,PERSONAL CARE,7976.0,0,31,1
2013-01-01,14,PET SUPPLIES,0.0,0,31,31
2013-01-01,14,PLAYERS AND ELECTRONICS,0.0,0,31,31
2013-01-01,14,POULTRY,1889.429,0,31,1
2013-01-01,14,PREPARED FOODS,1099.0,0,31,1
2013-01-01,14,PRODUCE,0.0,0,31,31
2013-01-01,14,SCHOOL AND OFFICE SUPPLIES,0.0,0,31,31
2013-01-01,14,SEAFOOD,250.0,0,31,1
2013-01-01,15,AUTOMOTIVE,50.0,0,31,9
2013-01-01,15,BABY CARE,0.0,0,31,31
2013-01-01,15,BEAUTY,66.0,0,31,11
2013-01-01,15,BEVERAGES,19010.0,0,31,1
2013-01-01,15,BOOKS,0.0,0,31,31
2013-01-01,15,BREAD/BAKERY,4903.0,0,31,1
2013-01-01,15,CELEBRATION,0.0,0,31,31
2013-01-01,15,CLEANING,23669.0,0,31,1
2013-01-01,15,DAIRY,3326.0,0,31,1
2013-01-01,15,DELI,5461.0,0,31,1
2013-01-01,15,EGGS,1177.0,0,31,1
2013-01-01,15,FROZEN FOODS,521.719,0,31,1
2013-01-01,15,GROCERY I,60720.0,0,31,1
2013-01-01,15,GROCERY II,245.0,0,31,1
2013-01-01,15,HARDWARE,20.0,0,31,20
2013-01-01,15,HOME AND KITCHEN I,0.0,0,31,31
2013-01-01,15,HOME AND KITCHEN II,0.0,0,31,31
2013-01-01,15,HOME APPLIANCES,3.0,0,31,30
2013-01-01,15,HOME CARE,0.0,0,31,31
2013-01-01,15,LADIESWEAR,0.0,0,31,31
2013-01-01,15,LAWN AND GARDEN,0.0,0,31,31
2013-01-01,15,LINGERIE,85.0,0,31,5
2013-01-01,15,"LIQUOR,WINE,BEER",739.0,0,31,5
2013-01-01,15,MAGAZINES,0.0,0,31,31
2013-01-01,15,MEATS,3456.318,0,31,1
2013-01-01,15,PERSONAL CARE,4654.0,0,31,1
2013-01-01,15,PET SUPPLIES,0.0,0,31,31
